ParallelGCThreads,MaxTenuringThreshold,Average GC Pause
4,1,0.013977752861925097
4,4,0.2567183241247746
4,7,0.1976576469287957
4,10,0.11998643926449043
4,13,0.0026422671720564774
4,16,0.131105777707958
8,1,0.3374657187479684
8,4,0.28004417267253084
8,7,0.11936615589471768
8,10,0.16728211738311585
8,13,0.13081927196279594
8,16,0.08414994215034687
12,1,0.571754942238022
12,4,0.5356208993774663
12,7,0.4711529108389231
12,10,0.49778321002449166
12,13,0.4979930074703819
12,16,0.497936156393614
16,1,0.7430887427859566
16,4,0.7356645468894663
16,7,0.7227467230906983
16,10,0.7393972833499639
16,13,0.7499069642253864
16,16,0.7665527489116838
20,1,0.859091287482499
20,4,0.8638014748952008
20,7,0.8695538328758475
20,10,0.8850309444858702
20,13,0.8976381183104855
20,16,0.9143136431952493
24,1,0.9391966745648619
24,4,0.9483073504787227
24,7,0.9606179486512221
24,10,0.9757564665789729
24,13,0.9882860956822075
24,16,1.0026422671720565
