MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
7,8,0.00775,103.2,516.0,10.7,161.0,159.041,31.8,3355.0
13,20,0.00944,-200090.0,-1000448.0,10.2,154.0,151.586,30.3,3408.0
13,16,0.00667,-123085.0,-615424.0,10.2,154.0,151.586,30.3,3355.0
4,8,0.00681,29.0,145.0,10.7,161.0,159.041,31.8,3355.0
10,20,0.00942,-218317.0,-1091584.0,10.2,154.0,151.586,30.3,3355.0
10,16,0.00685,-120013.0,-600064.0,10.2,154.0,151.586,30.3,3355.0
1,8,0.00664,26.2,131.0,8.7,131.0,129.221,25.8,3411.0
16,20,0.00898,-25395.0,-126976.0,10.7,161.0,159.041,31.8,3411.0
16,16,0.00917,-254157.0,-1270784.0,10.2,154.0,151.585,30.3,3392.0
7,24,0.01,-29286.0,-146432.0,9.2,139.0,136.676,27.3,3392.0
16,4,0.00806,80.2,401.0,8.7,131.0,129.221,25.8,3411.0
1,20,0.01099,-38093.0,-190464.0,10.2,154.0,151.586,30.3,3374.0
16,8,0.00634,40.2,201.0,10.7,161.0,159.041,31.8,3355.0
16,12,0.0079,86.6,433.0,10.7,161.0,159.041,31.8,3374.0
16,24,0.00891,-113254.0,-566272.0,10.7,161.0,159.04,31.8,3355.0
4,24,0.01072,-247603.0,-1238016.0,10.7,161.0,159.041,31.8,3404.0
13,4,0.0066,-72909.0,-364544.0,9.2,139.0,136.676,27.3,3355.0
4,20,0.00877,-184320.0,-921600.0,8.7,131.0,129.221,25.8,3408.0
13,8,0.00729,-72294.0,-361472.0,10.7,161.0,159.04,31.8,3411.0
13,12,0.00899,-130253.0,-651264.0,10.7,161.0,159.041,31.8,3355.0
13,24,0.01115,-234906.0,-1174528.0,10.7,161.0,159.041,31.8,3374.0
1,24,0.01013,-154829.0,-774144.0,10.2,154.0,151.586,30.3,3357.0
10,4,0.00706,9830.0,48.0,8.7,131.0,129.221,25.8,3408.0
10,8,0.00727,-169165.0,-845824.0,10.2,154.0,151.586,30.3,3411.0
7,20,0.01087,-177562.0,-887808.0,9.2,139.0,136.676,27.3,3408.0
10,12,0.00819,-79053.0,-395264.0,9.2,139.0,136.676,27.3,3392.0
10,24,0.01085,-99738.0,-498688.0,10.7,161.0,159.041,31.8,3411.0
7,12,0.00763,-150528.0,-752640.0,10.2,154.0,151.586,30.3,3411.0
4,12,0.00818,-144179.0,-720896.0,10.2,154.0,151.586,30.3,3405.0
1,16,0.00827,-101786.0,-508928.0,9.4,141.0,139.16,27.8,3408.0
1,4,0.00719,-98918.0,-494592.0,9.5,144.0,141.646,28.3,3410.0
1,12,0.00857,8602.0,42.0,10.7,161.0,159.042,31.8,3357.0
4,16,0.00852,-279142.0,-1395712.0,10.2,154.0,151.586,30.3,3392.0
4,4,0.00751,-129638.0,-648192.0,10.2,154.0,151.586,30.3,3354.0
7,16,0.00857,-137421.0,-687104.0,10.2,154.0,151.586,30.3,3380.0
7,4,0.00693,142.6,713.0,10.7,161.0,159.041,31.8,3376.0
