ParallelGCThreads,MaxTenuringThreshold,Average GC Pause
20,10,0.01203
16,10,0.00983
24,7,0.01115
8,16,0.00665
20,1,0.00989
20,13,0.00954
4,16,0.00755
16,13,0.01032
24,4,0.01006
8,13,0.0078
20,4,0.01106
20,16,0.01081
4,13,0.00627
16,16,0.00939
24,1,0.01077
20,7,0.00937
8,10,0.00817
4,10,0.00832
12,16,0.00863
24,16,0.01444
4,7,0.00722
4,4,0.00742
12,10,0.00832
24,10,0.01179
4,1,0.0061
12,13,0.00843
24,13,0.01022
12,7,0.01047
8,1,0.00792
12,4,0.009
16,1,0.01116
8,4,0.00762
12,1,0.01112
16,4,0.00969
8,7,0.00692
16,7,0.00889
