MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
10,4,0.21015,94.274,754.188,35.0,11425.0,10839.973,100.0,814.539
7,20,0.22059,95.001,760.008,34.9,11423.0,10839.972,100.0,813.475
10,8,0.14916,83.676,753.083,35.5,11604.0,10839.989,100.0,847.287
1,24,0.26639,108.906,871.25,35.0,11425.0,10839.987,100.0,814.474
13,4,0.20498,93.689,749.509,34.9,11423.0,10839.988,100.0,812.446
13,8,0.14861,94.426,755.404,35.0,11438.0,10839.972,100.0,812.749
4,20,0.17963,76.379,763.794,35.5,11606.0,10839.972,100.0,849.216
1,4,0.18607,109.583,876.662,34.9,11423.0,10839.977,100.0,813.266
4,24,0.278,93.911,751.284,35.1,11468.0,10839.989,100.0,813.204
16,4,0.18847,83.72,753.478,35.5,11604.0,10839.973,100.0,847.306
4,4,0.19791,92.699,741.592,34.9,11423.0,10839.992,100.0,812.438
16,8,0.16909,97.88,783.044,35.1,11475.0,10839.972,100.0,812.608
1,20,0.18954,104.515,940.637,35.5,11606.0,10839.987,100.0,849.446
7,24,0.25286,85.572,770.149,35.5,11604.0,10839.976,100.0,847.016
7,4,0.18653,84.462,760.158,35.5,11605.0,10839.973,100.0,847.754
7,8,0.16755,93.89,751.12,35.0,11430.0,10839.989,100.0,813.025
10,20,0.20235,85.897,773.075,35.5,11604.0,10839.978,100.0,847.329
10,16,0.17939,95.027,760.219,35.0,11425.0,10839.989,100.0,815.012
4,8,0.15689,95.128,761.027,35.1,11466.0,10839.988,100.0,815.667
13,20,0.22224,94.269,754.152,35.2,11490.0,10839.976,100.0,812.816
13,16,0.18425,95.858,766.864,35.2,11502.0,10839.989,100.0,812.708
1,8,0.12919,98.147,981.474,35.5,11605.0,10839.973,100.0,896.418
16,20,0.20235,84.428,759.854,35.5,11605.0,10839.989,100.0,847.571
16,16,0.17439,93.567,748.539,35.0,11433.0,10839.987,100.0,813.236
16,12,0.17112,94.664,757.312,35.0,11433.0,10839.985,100.0,814.023
7,16,0.1788,93.638,749.102,34.9,11423.0,10839.972,100.0,812.685
16,24,0.28523,95.429,763.429,34.9,11423.0,10839.977,100.0,813.489
4,16,0.13649,77.147,771.466,35.5,11604.0,10839.998,100.0,847.062
1,12,0.15362,112.86,902.879,35.0,11424.0,10839.991,100.0,817.188
10,12,0.19358,93.874,27505.063,35.5,11606.0,10839.998,100.0,896.418
1,16,0.16398,113.886,911.088,35.0,11454.0,10839.972,100.0,812.562
4,12,0.18579,95.516,764.132,35.0,11449.0,10839.986,100.0,814.646
10,24,0.28042,94.737,757.895,35.0,11434.0,10839.972,100.0,813.926
13,12,0.16804,95.532,764.253,35.0,11425.0,10839.973,100.0,814.718
7,12,0.16018,94.805,758.438,34.9,11423.0,10839.988,100.0,812.745
13,24,0.27699,95.563,764.506,35.4,11561.0,10839.987,100.0,812.85
