MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
1,4,0.00832,5394.4,26.34,63.6,1503.0,1345.0,99.3,173.514
4,4,0.00994,7444.8,36.352,63.6,1503.0,1345.0,99.3,172.963
7,4,0.01153,8110.0,39.6,63.6,1503.0,1345.0,99.3,174.8
10,4,0.01063,7573.4,36.979,63.6,1503.0,1345.0,99.3,173.072
10,8,0.0095,8568.8,41.84,63.6,1503.0,1345.0,99.3,178.655
7,20,0.01,9186.4,44.855,63.6,1503.0,1345.0,99.3,180.969
13,4,0.01154,6997.6,34.168,63.6,1503.0,1345.0,99.3,173.063
4,20,0.01109,8084.6,39.476,63.6,1503.0,1345.0,99.3,176.99
13,8,0.00918,9254.6,45.188,63.6,1503.0,1345.0,99.3,178.53
1,24,0.01233,8198.6,40.032,63.6,1503.0,1345.0,99.3,176.87
16,4,0.0099,7303.0,35.659,63.6,1503.0,1345.0,99.3,178.951
1,20,0.01184,9146.2,44.659,63.6,1503.0,1345.0,99.3,178.171
16,8,0.01106,8515.8,41.581,63.6,1503.0,1345.0,99.3,174.857
4,24,0.0106,8146.4,39.777,63.6,1503.0,1345.0,99.3,175.78
7,24,0.01324,8511.0,41.558,63.6,1503.0,1345.0,99.3,180.432
13,20,0.00908,6596.4,32.209,63.6,1503.0,1345.0,99.3,173.319
13,16,0.01034,8388.2,40.958,63.6,1503.0,1345.0,99.3,178.333
10,20,0.00971,8266.4,40.363,63.6,1503.0,1345.0,99.3,176.436
10,16,0.00965,10132.4,49.475,63.6,1503.0,1345.0,99.3,181.492
16,20,0.00995,9874.8,48.217,63.6,1503.0,1345.0,99.3,176.252
16,16,0.01067,9281.8,45.321,63.6,1503.0,1345.0,99.3,179.631
7,8,0.0102,7057.0,34.458,63.6,1503.0,1345.0,99.3,174.904
7,16,0.01029,7893.2,38.541,63.6,1503.0,1345.0,99.3,173.909
16,12,0.00967,7864.8,38.402,63.6,1503.0,1345.0,99.3,173.55
1,12,0.00888,7261.8,35.458,63.6,1503.0,1345.0,99.3,174.139
4,8,0.01048,7705.2,37.623,63.6,1503.0,1345.0,99.3,174.932
4,16,0.01037,7505.8,36.649,63.6,1503.0,1345.0,99.3,175.165
16,24,0.0108,6898.2,33.683,63.6,1503.0,1345.0,99.3,173.732
13,12,0.00936,8857.8,43.251,63.6,1503.0,1345.0,99.3,175.402
4,12,0.01104,8782.0,42.881,63.6,1503.0,1345.0,99.3,177.177
1,8,0.00981,7835.6,38.26,65.0,1503.0,1345.0,103.0,176.052
1,16,0.00921,8867.8,43.3,63.6,1503.0,1345.0,99.3,180.085
13,24,0.00991,7830.8,38.236,63.6,1503.0,1345.0,99.3,176.837
10,12,0.00895,7784.4,38.01,63.6,1503.0,1345.0,99.3,175.254
7,12,0.01015,8019.2,39.156,63.6,1503.0,1345.0,99.3,174.216
10,24,0.01101,9334.6,45.579,63.6,1503.0,1345.0,99.3,180.882
