MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
10,12,0.02917,18.142,126.997,21.7,7096.0,6942.777,64.0,166.521
10,8,0.0274,17.913,125.389,22.6,7382.0,7228.855,66.7,166.475
7,20,0.03037,18.347,128.429,21.8,7133.0,6980.122,64.4,166.423
10,4,0.03058,18.038,126.269,22.7,7429.0,7276.107,67.1,166.504
10,24,0.03323,18.145,127.018,22.7,7428.0,7274.998,67.1,166.503
13,12,0.03009,18.063,126.444,21.3,6948.0,6795.241,62.7,166.436
4,20,0.03266,18.378,128.643,20.9,6826.0,6673.153,61.6,166.521
13,8,0.02878,18.194,127.359,21.5,7036.0,6882.947,63.5,166.459
13,4,0.03171,18.165,127.153,22.6,7385.0,7232.28,66.7,166.444
1,24,0.03256,18.286,128.003,22.0,7198.0,7044.833,65.0,166.475
13,24,0.03018,18.562,129.931,22.7,7417.0,7264.747,67.0,166.503
16,12,0.03385,18.156,127.093,22.6,7392.0,7239.152,66.8,166.444
1,20,0.02915,18.374,128.621,20.6,6746.0,6592.859,60.8,166.499
16,8,0.03115,18.029,126.202,22.6,7395.0,7241.959,66.8,166.475
16,4,0.02861,18.28,127.962,22.3,7289.0,7136.673,65.8,166.416
4,24,0.02787,18.305,128.135,21.8,7117.0,6964.479,64.2,166.419
16,24,0.03204,18.334,128.338,21.8,7113.0,6959.995,64.2,166.496
7,24,0.03193,18.391,128.736,22.6,7400.0,7247.415,66.9,166.414
16,20,0.03056,18.463,129.239,22.5,7368.0,7215.266,66.6,166.502
1,4,0.02897,18.046,126.321,22.1,7216.0,7062.881,65.2,166.486
16,16,0.03027,18.141,126.988,22.0,7180.0,7026.876,64.8,166.449
10,20,0.03255,18.379,128.654,21.6,7076.0,6923.376,63.9,166.437
7,4,0.02989,18.215,127.503,23.0,7502.0,7349.542,67.8,166.469
10,16,0.02917,18.467,129.266,22.0,7190.0,7037.095,64.9,166.51
13,20,0.03337,18.609,130.26,21.9,7149.0,6996.392,64.5,166.47
4,4,0.02805,18.133,126.928,22.1,7222.0,7068.982,65.2,166.516
13,16,0.0307,18.334,128.336,22.4,7337.0,7184.147,66.3,166.507
7,16,0.02677,18.06,126.418,22.6,7400.0,7246.817,66.9,166.472
4,8,0.02824,18.166,127.165,22.7,7419.0,7266.142,67.0,166.421
1,12,0.02957,18.065,126.453,22.7,7428.0,7275.169,67.1,166.419
4,16,0.02815,18.409,128.862,22.4,7309.0,7156.656,66.0,166.424
7,8,0.02848,18.287,128.008,21.6,7049.0,6895.873,63.6,166.513
4,12,0.02978,18.303,128.119,22.4,7333.0,7180.376,66.2,166.51
1,16,0.02857,18.551,129.854,22.4,7333.0,7180.651,66.2,166.478
7,12,0.03281,18.423,128.963,22.4,7328.0,7175.531,66.2,166.507
1,8,0.02813,18.626,130.38,22.3,7279.0,7126.767,65.7,166.473
