ParallelGCThreads,MaxTenuringThreshold,Average GC Pause
12,10,0.02917
8,10,0.0274
20,7,0.03037
4,10,0.03058
24,10,0.03323
12,13,0.03009
20,4,0.03266
8,13,0.02878
4,13,0.03171
24,1,0.03256
24,13,0.03018
12,16,0.03385
20,1,0.02915
8,16,0.03115
4,16,0.02861
24,4,0.02787
24,16,0.03204
24,7,0.03193
20,16,0.03056
4,1,0.02897
16,16,0.03027
20,10,0.03255
4,7,0.02989
16,10,0.02917
20,13,0.03337
4,4,0.02805
16,13,0.0307
16,7,0.02677
8,4,0.02824
12,1,0.02957
16,4,0.02815
8,7,0.02848
12,4,0.02978
16,1,0.02857
12,7,0.03281
8,1,0.02813
