ParallelGCThreads,MaxTenuringThreshold,Average GC Pause
4,1,0.7141629002424827
4,4,0.6410899218547221
4,7,0.5515988567419735
4,10,0.5901274297866346
4,13,0.5957790282823746
4,16,0.5858859651870182
8,1,0.5072954997645468
8,4,0.37507037118264275
8,7,0.172518695630918
8,10,0.26516398720923695
8,13,0.24932731144888215
8,16,0.15474150854322302
12,1,0.4019669748821113
12,4,0.41627817425672786
12,7,0.335064332065421
12,10,0.33637433063862754
12,13,0.306519034588192
12,16,0.3422129246946329
16,1,0.0033302137030612098
16,4,0.37298705994769216
16,7,0.3717591421833424
16,10,0.25632245087304467
16,13,0.11602069649107793
16,16,0.30880403219062763
20,1,0.5821946349722711
20,4,0.6916580938752284
20,7,0.7156059246639509
20,10,0.6989463367160367
20,13,0.6789486234406166
20,16,0.7495511483506844
24,1,0.8360641903234032
24,4,0.9017014343590531
24,7,0.9408785081279469
24,10,0.9583710588915103
24,13,0.969230202769602
24,16,1.003330213703061
