MaxTenuringThreshold,ParallelGCThreads,MaxHeapSize,fullGCPause,avgPause,fullGcPauseCount,footprint,gcPerformance,totalTenuredUsedMax,avgPromotion,fullGCPerformance,throughput
13,4,4,3355.0,64.8,0.03712,5.0,0.33,1508.0,99.7,14920.584,6134.62
7,8,2,3355.0,103.2,0.04522,5.0,0.41,1508.0,99.64,14959.635,4953.668
13,8,4,3409.0,-66765.0,0.04362,5.0,0.4,1508.0,99.71,16238.272,5117.301
4,20,4,3355.0,-150528.0,0.04677,5.0,0.42,1508.0,99.7,13366.383,4824.204
1,16,16,3354.0,-236954.0,0.05045,5.0,0.46,1508.0,99.67,13693.046,4424.913
10,24,8,3411.0,-304538.0,0.04698,5.0,0.42,1508.0,99.69,12382.707,4840.543
13,20,2,3408.0,-200090.0,0.04721,5.0,0.42,1508.0,99.68,12098.227,4819.89
10,16,32,4747.0,-188826.0,0.04536,5.0,0.41,1508.0,99.7,14609.668,7560.32
10,12,8,3411.0,-132915.0,0.04433,5.0,0.4,1508.0,99.72,12418.443,5154.276
13,16,2,3355.0,-123085.0,0.03995,5.0,0.37,1508.0,99.65,17210.361,5593.962
10,20,32,4804.0,15.6,0.04827,5.0,0.43,1508.0,99.68,12325.229,9601.635
1,24,4,3374.0,-345907.0,0.047,5.0,0.42,1508.0,99.69,11365.871,4886.3
4,12,16,3408.0,-185344.0,0.04931,5.0,0.45,1508.0,99.67,12462.268,4584.486
16,16,4,3410.0,-66765.0,0.04595,5.0,0.42,1508.0,99.7,12288.96,4930.781
10,4,4,3377.0,70.2,0.05804,5.0,0.5,1508.0,98.88,6730.974,4129.24
1,4,32,4720.0,-89498.0,0.04284,5.0,0.39,1508.0,99.72,19117.81,7831.281
4,8,2,3355.0,29.0,0.04092,5.0,0.38,1508.0,99.64,16950.646,5459.121
7,20,4,3377.0,-129024.0,0.0473,5.0,0.42,1508.0,99.69,12060.054,4827.126
10,8,4,3355.0,-151142.0,0.03999,5.0,0.37,1508.0,99.73,17394.26,5571.607
13,24,8,3355.0,-333824.0,0.04781,5.0,0.42,1508.0,99.67,9581.91,4902.254
13,16,32,4777.0,133.8,0.04442,5.0,0.4,1508.0,99.98,16375.7,10196.994
10,20,2,3355.0,-218317.0,0.04878,5.0,0.44,1508.0,99.67,12118.768,4647.437
13,12,8,3355.0,-95232.0,0.04058,5.0,0.37,1508.0,99.73,14261.702,5587.4
13,20,32,4720.0,-182886.0,0.04729,5.0,0.42,1508.0,99.69,14158.203,7243.096
10,16,2,3355.0,-120013.0,0.03681,5.0,0.33,1508.0,99.49,16677.377,6134.73
16,20,4,3374.0,-210739.0,0.05009,5.0,0.45,1508.0,99.67,11974.945,4530.382
7,12,16,3411.0,-234906.0,0.04553,5.0,0.42,1508.0,99.7,15561.898,4897.377
13,16,4,3357.0,-114483.0,0.04294,5.0,0.39,1508.0,99.72,13954.388,5277.031
4,4,32,4720.0,-130458.0,0.04148,5.0,0.38,1508.0,99.73,17710.684,8173.974
1,8,2,3411.0,26.2,0.03736,5.0,0.34,1508.0,99.53,16808.748,6016.257
16,24,8,3389.0,-297779.0,0.046,5.0,0.42,1508.0,99.69,12447.022,4932.658
7,16,16,3411.0,-138240.0,0.04311,5.0,0.39,1508.0,99.72,13533.447,5272.602
16,16,32,4720.0,-98714.0,0.04689,5.0,0.43,1508.0,99.71,16546.78,7198.847
16,12,8,3392.0,14.6,0.04723,5.0,0.43,1508.0,99.68,14155.341,4746.201
16,20,32,4747.0,151.6,0.04639,5.0,0.41,1508.0,99.69,13387.214,9950.321
13,20,4,3392.0,-161382.0,0.04646,5.0,0.42,1508.0,99.69,11860.718,4892.417
7,24,4,3408.0,-212378.0,0.04642,5.0,0.41,1508.0,99.69,11153.761,4941.322
10,16,4,3355.0,-305357.0,0.04576,5.0,0.41,1508.0,99.69,12491.895,4979.225
7,4,32,4720.0,-36864.0,0.04005,5.0,0.37,1508.0,99.74,21215.79,8284.834
16,4,4,3377.0,78.2,0.04391,5.0,0.4,1508.0,99.64,13995.004,5146.893
16,8,4,3354.0,-113254.0,0.0422,5.0,0.38,1508.0,99.71,15426.595,5319.743
1,20,4,3374.0,-296346.0,0.04819,5.0,0.43,1508.0,99.69,11883.957,4727.041
4,16,16,3377.0,-203366.0,0.04462,5.0,0.4,1508.0,99.7,13016.691,5099.983
16,20,2,3411.0,-25395.0,0.04664,5.0,0.42,1508.0,99.68,12918.458,4859.345
16,16,2,3392.0,-254157.0,0.04609,5.0,0.42,1508.0,99.64,12609.625,4934.084
10,20,4,3355.0,-204186.0,0.04923,5.0,0.44,1508.0,99.68,11687.77,4633.117
4,24,4,3392.0,-211149.0,0.04576,5.0,0.41,1508.0,99.69,12483.462,4986.244
1,12,16,3392.0,-173056.0,0.04626,5.0,0.42,1508.0,99.7,14239.12,4859.01
7,8,8,3355.0,-135782.0,0.0434,5.0,0.4,1508.0,99.71,15434.959,5126.485
1,20,8,3392.0,-110797.0,0.04907,5.0,0.44,1508.0,99.67,11308.404,4658.304
13,24,4,3412.0,-62669.0,0.04863,5.0,0.44,1508.0,99.68,12101.37,7012.37
16,8,8,3354.0,35.4,0.04068,5.0,0.37,1508.0,99.73,16440.152,5509.434
4,4,4,3408.0,46.6,0.03465,5.0,0.32,1508.0,99.69,18701.266,6490.049
7,12,32,4746.0,-46080.0,0.04338,5.0,0.39,1508.0,99.71,15180.886,7920.098
16,16,8,3411.0,-207053.0,0.04705,5.0,0.43,1508.0,99.68,12928.652,4774.716
