MaxTenuringThreshold,ParallelGCThreads,avgGCPause,avgPromotion,promotionTotal,totalHeapUsedMaxpc,totalHeapUsedMax,totalYoungUsedMax,totalYoungUsedMaxpc,totalTenuredUsedMax
1,8,0.0107,0.9863139578532903,0.9908774986980732,0.9061032863849765,0.735408560311284,0.737983083116909,0.6433121019108281,0.0004288033324142404
7,24,0.01116,0.5609215952300683,0.3671353603332933,0.892018779342723,0.730652831820147,0.7333007702782015,0.6348195329087047,0.0008269778553700036
16,8,0.0087,0.9490905295850407,0.9362977206265273,0.995305164319249,0.7661046260268051,0.7688371562388978,0.6985138004246283,0.0011638947594105886
1,20,0.0099,0.7056981166921932,0.5794175379561751,0.8403755868544605,0.712926934716818,0.7155197805377329,0.602972399150743,0.0016539557107417835
16,4,0.01132,0.9898517278271337,0.9987721828305893,0.8732394366197189,0.7237354085603113,0.7262256801911793,0.6220806794055203,0.24597996875861394
4,24,0.01018,0.5819036997897965,0.39790089332211676,0.938967136150235,0.7470817120622567,0.7497569700048281,0.664543524416136,0.0006738338080793937
13,8,0.01169,0.9962169374760605,0.9906717652125145,0.7934272300469489,0.696498054474708,0.6990557726184903,0.5732484076433122,0.6567429324022171
4,20,0.01165,0.7763378687099449,0.6829948323518809,0.835680751173709,0.7120622568093385,0.7144110171862658,0.6008492569002124,9.188642837365535e-05
13,4,0.01212,0.9900434272191445,0.9991938068341145,0.915492957746479,0.7392996108949416,0.7418212435761349,0.6496815286624202,0.2455511654261997
7,8,0.00824,0.9865673550144771,0.9912490485919161,0.8779342723004699,0.7263294422827496,0.729009300858771,0.6263269639065818,0.001408925235075742
1,24,0.01001,0.6805195912205193,0.542498898369587,0.8638497652582164,0.7211413748378729,0.7238519896359257,0.6178343949044585,0.0005206897607887839
7,20,0.0115,0.9863180559205872,0.990883507591235,0.8685446009389675,0.7228707306528318,0.7256014585703807,0.6220806794055203,0.0011332659499521114
10,8,0.01245,0.9899933392746203,0.9990836437928133,0.7934272300469489,0.696498054474708,0.69898116100016,0.5732484076433122,0.24533676375999214
10,4,0.01172,0.9904099761164639,1.0,0.8450704225352115,0.7146562905317769,0.717165574025787,0.605095541401274,0.31517044932463456
4,8,0.00834,0.9862531698550542,0.9907883667828387,0.9201877934272304,0.740164288802421,0.7427092085919618,0.651804670912951,0.0005819473797048502
7,12,0.0095,0.9862647810457285,0.9908053919801306,0.9483568075117375,0.7509727626459143,0.7537465226431079,0.6709129511677281,0.0015314404729078746
16,12,0.00973,0.8924388472737744,0.853230781556704,0.9201877934272304,0.740164288802421,0.7426215833192713,0.651804670912951,0.0011026371404945223
16,24,0.00879,0.46020749334337274,0.21946080198694073,0.9530516431924885,0.751405101599654,0.7538727550903992,0.6730360934182589,0.0007657202364539373
4,12,0.00997,0.9987481770430642,0.9906681889196011,0.9718309859154934,0.7574578469520102,0.7599878712741366,0.6836518046709128,0.00030628809458121964
1,16,0.00928,0.9819624933952816,0.9844970556423507,0.9577464788732399,0.7539991353220924,0.7567813068398463,0.6772823779193204,0.0018070997580323933
1,12,0.01132,0.9862763922364028,0.9908224171774226,0.934272300469484,0.7453523562472978,0.7481372038254939,0.662420382165605,0.00039817452295576317
10,12,0.01505,0.9953190058525866,0.9906698373592917,0.9530516431924885,0.7522697795071335,0.7547628890486193,0.6730360934182589,0.6218873472388129
4,16,0.01336,0.9902838471672247,0.9997225894323599,0.8215962441314555,0.706441850410722,0.7089925652992641,0.5902335456475585,0.27256577536831106
10,24,0.02002,0.9880107858399209,0.9987962184032368,0.7934272300469489,0.6977950713359272,0.7004148319221472,0.5753715498938428,0.24879781922876631
13,12,0.01002,0.41264805634132207,0.1497255938789408,1.0,0.767833981841764,0.7703185438935378,0.7027600849256899,0.001072008331036045
7,16,0.01165,0.8994328821270172,0.8634859592196451,0.835680751173709,0.7120622568093385,0.7146296465795127,0.6008492569002124,0.0015008116634502855
13,24,0.00901,0.5217550000519089,0.30970636542082286,0.915492957746479,0.7384349329874621,0.7410117942749463,0.6496815286624202,0.0016539557107417835
10,20,0.00962,0.9864000172665236,0.9910036854544726,0.8967136150234749,0.7332468655425853,0.7358939578036594,0.6390658174097663,0.0007963490459124145
4,4,0.00896,0.98670122521284,0.9914453391018708,0.9061032863849765,0.7349762213575443,0.7376859380090235,0.6433121019108281,0.00018377285674908705
10,16,0.00966,0.5637192091713654,0.37123743139846976,0.938967136150235,0.7475140510159964,0.7500098686878895,0.664543524416136,0.0011945235688681777
13,20,0.00906,0.9866575124950072,0.9913812442414774,0.854460093896714,0.717682663207955,0.7204259282314314,0.6114649681528663,0.001072008331036045
7,4,0.01149,0.9901449677646027,0.9994171373632977,0.910798122065728,0.7375702550799826,0.7401286009323849,0.6475583864118897,0.24567368066403183
13,16,0.00984,0.9840607038512544,0.987573608941233,0.934272300469484,0.7457846952010375,0.7486195766137691,0.662420382165605,0.0004288033324142404
16,20,0.01022,0.6301625402771714,0.4686616191964107,0.8638497652582164,0.7215737137916126,0.724140025185759,0.6178343949044585,0.00039817452295576317
16,16,0.01099,0.9861944308904663,0.990702239314185,0.854460093896714,0.7181150021616948,0.7207326166858473,0.6114649681528663,0.0017152133296569616
1,4,0.01028,0.9455935121584194,0.9311701317950567,0.7981220657276995,0.698227410289667,0.7007310637230937,0.5753715498938428,0.0011638947594105886
